,Value
1154,24
1155,19
1156,12
1157,23
1158,18
1159,20
1160,15
1161,8
1162,8
1163,12
1164,11
1165,11
1166,12
1167,10
1168,9
1169,16
1170,8
1171,8
1172,8
1173,9
1174,11
1175,9
1176,13
1177,13
1178,13
1179,13
1180,10
1181,13
1182,16
1183,15
1184,15
1185,15
1186,16
1187,11
1188,12
1189,14
1190,16
1191,14
1192,19
1193,16
1194,16
1195,18
1196,18
1197,3
1198,14
1199,14
1200,13
1201,14
1202,10
1203,12
1204,11
1205,11
1206,9
1207,19
1208,18
1209,11
1210,11
1211,12
1212,13
1213,10
1214,16
1215,15
1216,14
1217,16
1218,15
1219,15
1220,15
1221,14
1222,13
1223,15
1224,13
1225,17
1226,15
1227,17
1228,17
1229,15
1230,16
1231,12
1232,12
1233,5
1234,9
1235,6
1236,7
1237,6
1238,6
1239,11
1240,8
1241,6
1242,6
1243,15
1244,13
1245,15
1246,8
1247,8
1248,11
1249,11
1250,16
1251,13
1252,13
1253,17
1254,15
1255,14
1256,16
1257,15
1258,13
1259,8
1260,7
1261,14
1262,12
1263,11
1264,10
1265,9
1266,7
1267,8
1268,9
1269,8
1270,8
1271,10
1272,9
1273,11
1274,11
1275,15
1276,14
1277,11
1278,13
1279,15
1280,15
1281,13
1282,14
1283,12
1284,13
1285,17
1286,14
1287,13
1288,11
1289,11
1290,13
1291,17
1292,15
1293,9
1294,11
1295,6
1296,12
1297,15
1298,13
1299,12
1300,12
1301,10
1302,11
1303,12
1304,10
1305,12
1306,14
1307,11
1308,11
1309,12
1310,14
1311,17
1312,17
1313,16
1314,12
1315,14
1316,15
1317,17
1318,14
1319,15
1320,14
1321,19
1322,18
1323,17
1324,15
1325,10
1326,11
1327,9
1328,16
1329,17
1330,15
1331,13
1332,17
1333,14
1334,13
1335,13
1336,18
1337,14
1338,16
1339,16
1340,12
1341,15
1342,12
1343,14
1344,12
1345,18
1346,13
1347,20
1348,18
1349,12
1350,15
1351,10
1352,11
1353,9
1354,8
1355,9
1356,16
1357,18
1358,13
1359,16
1360,12
1361,12
1362,16
1363,10
1364,15
1365,11
1366,15
1367,14
1368,10
1369,12
1370,9
1371,13
1372,11
1373,12
1374,14
1375,14
1376,14
1377,13
1378,18
1379,16
1380,13
1381,12
1382,15
1383,15
1384,14
1385,17
1386,13
1387,13
1388,14
1389,13
1390,17
1391,15
1392,16
1393,18
1394,18
1395,11
1396,9
1397,17
1398,11
1399,16
1400,11
1401,15
1402,10
1403,9
1404,10
1405,11
1406,11
1407,11
1408,9
1409,11
1410,9
1411,8
1412,13
1413,9
1414,11
1415,11
1416,9
1417,9
1418,7
1419,13
1420,11
1421,8
1422,11
1423,9
1424,13
1425,10
1426,3
1427,5
1428,6
1429,12
1430,10
1431,12
1432,9
1433,7
1434,10
1435,8
1436,9
1437,9
1438,7
1439,9
1440,12
1441,8
1442,15
1443,12
1444,14
1445,9
1446,8
1447,7
1448,6
1449,10
1450,9
1451,8
1452,6
1453,14
1454,12
1455,12
1456,12
1457,10
1458,7
1459,11
1460,13
1461,14
1462,13
1463,14
1464,11
1465,11
1466,13
1467,9
1468,12
1469,11
1470,12
1471,12
1472,10
1473,14
1474,10
1475,10
1476,12
1477,9
1478,11
1479,12
1480,16
1481,8
1482,11
1483,10
1484,12
1485,7
1486,7
1487,11
1488,9
1489,11
1490,9
1491,9
1492,8
1493,9
1494,9
1495,10
1496,10
1497,12
1498,18
1499,14
1500,14
1501,16
1502,16
1503,17
1504,17
1505,14
1506,16
1507,15
1508,18
1509,16
1510,14
1511,17
1512,15
1513,7
1514,11
1515,9
1516,8
1517,8
1518,18
1519,17
1520,17
1521,19
1522,18
1523,16
1524,18
1525,12
1526,15
1527,16
1528,12
1529,13
1530,8
1531,7
1532,11
1533,10
1534,14
1535,11
1536,12
1537,11
1538,15
1539,13
1540,15
1541,16
1542,9
1543,10
1544,10
1545,10
1546,10
1547,15
1548,15
1549,12
1550,18
1551,15
1552,12
1553,11
1554,11
1555,10
1556,12
1557,9
1558,9
1559,11
1560,11
1561,9
1562,17
1563,15
1564,19
1565,10
1566,15
1567,14
1568,10
1569,14
1570,12
1571,13
1572,12
1573,11
1574,11
1575,15
1576,14
1577,12
1578,14
1579,16
1580,15
1581,17
1582,17
1583,13
1584,14
1585,13
1586,18
1587,11
1588,17
1589,15
1590,12
1591,14
1592,13
1593,12
1594,14
1595,10
1596,12
1597,15
1598,14
1599,14
1600,15
1601,19
1602,20
1603,21
1604,24
1605,20
1606,21
1607,22
1608,24
1609,20
1610,20
1611,21
1612,19
1613,19
1614,22
1615,21
1616,17
1617,19
1618,21
1619,18
1620,18
1621,15
1622,16
1623,16
1624,17
1625,16
1626,13
1627,16
1628,12
1629,13
1630,12
1631,12
1632,11
1633,10
1634,11
1635,14
1636,15
1637,10
1638,13
1639,11
1640,17
1641,13
1642,14
1643,14
1644,15
1645,9
1646,10
1647,9
1648,12
1649,11
1650,10
1651,11
1652,12
1653,13
